,km_driven,insurance_prem,manufacturer,model,listed_price,car_seller,state,owner_type,car_age,top_features_count
91,130000.0,0,honda,honda city,301000.0,0,gujarat,4,13,9
92,62386.0,0,maruti,maruti eeco,500000.0,1,delhi,1,4,8
94,83500.0,0,maruti,maruti ertiga,600000.0,0,maharashtra,1,11,9
95,140000.0,0,maruti,maruti eeco,390000.0,0,gujarat,1,6,8
96,79000.0,0,maruti,maruti wagon r,275000.0,1,maharashtra,2,13,9
97,75000.0,0,hyundai,hyundai santro,540000.0,1,maharashtra,1,6,9
98,70000.0,0,maruti,maruti wagon r,320000.0,1,maharashtra,1,11,9
99,20000.0,0,maruti,maruti ertiga,790000.0,0,maharashtra,1,9,9
100,71000.0,0,maruti,maruti eeco,350000.0,1,maharashtra,1,12,9
103,60783.0,0,maruti,maruti wagon r,300000.0,1,karnataka,1,11,9
104,7270.0,0,maruti,maruti wagon r,515000.0,1,uttar pradesh,1,4,8
105,35000.0,0,maruti,maruti eeco,575000.0,1,maharashtra,1,5,8
106,51000.0,0,maruti,maruti wagon r,385000.0,1,uttar pradesh,1,9,8
107,34525.0,0,maruti,maruti wagon r,500000.0,1,delhi,1,5,8
108,106871.0,0,maruti,maruti ertiga,600000.0,0,haryana,1,9,9
109,76000.0,0,maruti,maruti wagon r,295000.0,1,maharashtra,2,13,8
113,78917.0,0,maruti,maruti wagon r,200000.0,1,delhi,1,13,8
114,124076.0,0,maruti,maruti wagon r,234579.0,1,uttar pradesh,2,10,9
115,100000.0,0,hyundai,hyundai santro xing,270000.0,0,gujarat,1,11,0
116,40562.0,0,maruti,maruti wagon r,310000.0,1,delhi,4,9,9
117,45825.0,0,maruti,maruti wagon r,375000.0,1,delhi,2,8,9
118,70000.0,0,maruti,maruti wagon r,490000.0,0,uttar pradesh,1,5,8
119,46000.0,0,maruti,maruti eeco,450000.0,1,haryana,1,7,9
120,95000.0,0,maruti,maruti celerio,540000.0,1,haryana,1,5,8
121,20000.0,0,maruti,maruti eeco,625699.0,0,maharashtra,1,3,8
122,40000.0,0,maruti,maruti eeco,440000.0,0,gujarat,1,7,8
123,65337.0,0,maruti,maruti wagon r,271156.0,1,maharashtra,1,13,8
124,45022.0,0,maruti,maruti zen estilo,160000.0,1,gujarat,2,15,8
125,70000.0,0,maruti,maruti eeco,370000.0,0,haryana,1,6,8
126,51382.0,0,maruti,maruti wagon r,263928.0,1,delhi,3,10,9
128,12000.0,0,maruti,maruti wagon r,600000.0,0,uttar pradesh,1,5,8
129,120000.0,0,maruti,maruti wagon r,255000.0,0,maharashtra,1,13,8
130,89558.0,0,maruti,maruti wagon r,155128.0,1,delhi,1,14,8
131,28000.0,0,maruti,maruti eeco,475000.0,0,maharashtra,1,6,8
132,42000.0,0,maruti,maruti celerio,465000.0,1,maharashtra,1,9,8
134,53959.0,0,maruti,maruti wagon r,439276.0,1,maharashtra,1,7,9
135,51413.0,0,maruti,maruti wagon r,319430.0,1,maharashtra,2,11,9
136,42813.0,0,maruti,maruti wagon r,350000.0,1,maharashtra,1,11,9
137,32554.0,0,maruti,maruti wagon r,530000.0,1,delhi,1,4,8
138,117468.0,0,maruti,maruti wagon r,150000.0,1,haryana,4,13,8
139,70000.0,0,maruti,maruti wagon r,500000.0,0,gujarat,1,6,8
140,94694.0,0,maruti,maruti celerio,436111.0,1,maharashtra,1,9,8
141,30272.0,0,maruti,maruti celerio,510448.0,1,maharashtra,1,7,8
142,75062.0,0,maruti,maruti celerio,419000.0,1,maharashtra,1,9,8
143,76550.0,0,maruti,maruti wagon r,120000.0,1,delhi,3,14,8
145,54741.0,0,maruti,maruti wagon r,270909.0,1,maharashtra,2,13,8
146,138733.0,0,maruti,maruti zen estilo,158101.0,1,maharashtra,2,15,8
147,57739.0,0,maruti,maruti eeco,192761.0,1,haryana,1,13,9
148,29069.0,0,maruti,maruti wagon r,450000.0,1,maharashtra,1,6,9
149,76035.0,0,maruti,maruti ertiga,695000.0,1,maharashtra,1,10,9
151,46907.0,0,maruti,maruti ertiga,820000.0,1,maharashtra,2,4,9
152,45094.0,0,maruti,maruti wagon r,300000.0,1,maharashtra,2,13,8
153,40247.0,0,hyundai,hyundai aura,750000.0,1,delhi,1,4,9
155,95221.0,0,maruti,maruti wagon r,270909.0,1,maharashtra,2,13,8
156,67900.0,0,maruti,maruti ertiga,590000.0,1,delhi,1,9,9
157,85411.0,0,maruti,maruti wagon r,320000.0,1,maharashtra,1,10,9
158,8484.0,0,hyundai,hyundai santro,520000.0,1,maharashtra,1,6,9
159,71144.0,0,maruti,maruti wagon r,299001.0,1,maharashtra,2,12,8
160,88191.0,0,maruti,maruti wagon r,192872.0,1,karnataka,1,13,8
162,47600.0,0,hyundai,hyundai santro,450000.0,1,uttar pradesh,1,7,9
163,23168.0,0,hyundai,hyundai santro,450000.0,1,maharashtra,1,6,9
166,71967.0,0,maruti,maruti wagon r,239471.0,1,delhi,3,10,9
168,40073.0,0,maruti,maruti ertiga,898457.0,1,maharashtra,1,5,9
171,135606.0,0,maruti,maruti celerio,285000.0,1,haryana,1,10,8
172,39500.0,0,maruti,maruti celerio,560000.0,1,haryana,2,5,8
173,64415.0,0,maruti,maruti wagon r,280000.0,1,maharashtra,1,11,9
174,7000.0,0,hyundai,hyundai grand i10 nios,791000.0,1,maharashtra,1,3,9
175,58539.0,0,maruti,maruti wagon r,350000.0,1,haryana,1,8,9
176,128769.0,0,maruti,maruti wagon r,340000.0,1,haryana,1,8,9
177,90000.0,0,maruti,maruti wagon r,280000.0,0,madhya pradesh,2,9,9
178,52000.0,0,maruti,maruti wagon r,325000.0,1,maharashtra,2,11,8
179,74547.0,0,maruti,maruti wagon r,380000.0,1,maharashtra,1,7,9
181,20000.0,0,hyundai,hyundai aura,715000.0,0,uttar pradesh,1,4,9
182,51106.0,0,maruti,maruti wagon r,300000.0,1,delhi,2,9,9
183,102425.0,0,maruti,maruti ertiga,650000.0,1,maharashtra,1,8,9
184,110000.0,0,toyota,toyota corolla altis,230375.0,0,delhi,2,15,9
186,65000.0,0,maruti,maruti wagon r,360000.0,1,maharashtra,1,11,8
187,20400.0,0,hyundai,hyundai grand i10 nios,645000.0,1,haryana,1,5,9
189,47482.0,0,maruti,maruti wagon r,330000.0,1,maharashtra,1,8,9
190,56152.0,0,maruti,maruti eeco,500000.0,1,delhi,3,4,8
191,96972.0,0,maruti,maruti wagon r,235000.0,1,delhi,1,11,9
192,40807.0,0,maruti,maruti wagon r,200000.0,1,delhi,1,13,8
193,142607.0,0,maruti,maruti wagon r,150000.0,1,delhi,1,14,8
194,10248.0,0,tata,tata tiago,700000.0,1,haryana,1,3,9
195,44037.0,0,maruti,maruti eeco,400000.0,1,delhi,1,6,8
196,50000.0,0,maruti,maruti wagon r,375000.0,0,haryana,2,7,9
197,35000.0,0,maruti,maruti wagon r,600000.0,0,uttar pradesh,1,4,8
198,7508.0,0,tata,tata tigor,832498.0,1,maharashtra,2,3,9
199,10500.0,0,hyundai,hyundai aura,900000.0,0,bihar,1,3,9
200,82264.0,0,maruti,maruti alto k10,240000.0,1,delhi,1,11,8
201,55000.0,0,maruti,maruti wagon r,375000.0,1,maharashtra,1,11,8
